-0.168,0.041,2.383,14.893,43.274,-2.747

-0.146,0.030,2.104,16.724,84.290,-2.136

-0.111,0.049,1.787,13.428,123.169,-3.052

-0.078,0.061,1.483,8.240,155.151,-6.042

-0.053,0.047,1.154,5.432,177.979,-8.545

-0.008,0.080,0.779,-4.639,187.622,-10.193

-0.021,0.077,0.441,-14.587,183.533,-12.085

-0.012,0.092,0.146,-14.526,172.302,-15.869

-0.003,0.070,-0.107,-13.733,153.503,-19.897

-0.032,0.037,-0.346,-12.634,128.052,-21.057

-0.074,-0.004,-0.530,-12.207,100.281,-20.508

-0.101,-0.048,-0.660,-14.099,72.021,-17.883

-0.101,-0.089,-0.722,-17.517,43.213,-13.428

-0.092,-0.107,-0.708,-22.766,14.709,-7.751

-0.057,-0.083,-0.607,-27.893,-12.756,-0.854

0.015,-0.054,-0.481,-28.748,-38.757,7.874

0.084,-0.020,-0.281,-26.794,-63.843,16.174

0.128,0.030,0.052,-22.827,-90.820,22.339

0.134,0.066,0.532,-13.489,-122.864,26.062

0.103,0.099,1.133,1.770,-159.912,27.771

0.118,0.060,1.707,24.841,-197.510,29.114

0.088,-0.055,2.120,49.194,-227.295,28.748

-0.028,-0.116,2.379,53.955,-237.244,25.024

-0.212,-0.100,2.633,34.058,-218.140,20.569
-0.030,0.237,2.406,-28.198,116.211,14.709

0.022,0.341,2.076,-33.020,148.315,9.216

0.039,0.451,1.721,-29.175,166.870,3.723

0.055,0.486,1.308,-16.296,181.702,-1.465

0.084,0.329,0.764,-1.099,195.068,-8.911

0.084,0.309,0.226,-6.470,200.989,-20.996

0.029,0.163,-0.233,-10.620,194.031,-34.729

-0.027,0.027,-0.527,-19.104,175.781,-48.340

-0.106,-0.124,-0.679,-27.039,145.020,-57.129

-0.205,-0.275,-0.762,-28.687,105.408,-57.495

-0.278,-0.410,-0.797,-25.391,61.768,-49.194

-0.285,-0.493,-0.766,-21.851,16.663,-32.715

-0.245,-0.462,-0.622,-20.386,-27.710,-10.010

-0.151,-0.358,-0.400,-18.982,-69.763,16.357

-0.022,-0.228,-0.080,-15.442,-105.164,39.856

0.047,-0.078,0.387,-10.498,-136.047,54.016

0.027,0.086,0.983,-1.404,-165.894,61.096

0.083,0.207,1.616,14.343,-195.496,67.139

0.159,0.216,2.134,34.485,-228.088,70.496

0.164,0.278,2.498,36.621,-251.587,65.552

