0.359,-0.088,2.891,16.174,-167.358,17.517

-0.370,-0.012,3.027,-2.258,-93.628,18.738

-0.293,0.076,2.979,-15.198,-12.451,19.592

-0.154,0.154,2.719,-21.057,61.768,18.311

0.010,0.326,2.793,23.437,-247.742,51.575

-0.201,0.316,3.031,17.273,-200.562,31.921

-0.314,0.352,3.073,7.385,-113.892,16.357

-0.288,0.373,2.904,-0.488,-8.118,6.958

-0.142,0.407,2.545,-5.737,89.478,1.709
	
-0.044,0.247,2.756,25.818,-257.202,41.748

-0.265,0.240,2.998,16.235,-209.045,21.301

-0.377,0.248,3.124,6.592,-123.657,5.432

-0.357,0.260,3.031,-0.549,-21.790,-1.648

-0.218,0.272,2.719,-3.235,71.289,-3.662
